Restaurant_id,Category
mi-familia-coco-loco-college-station,mexican
blakes-steaks-college-station,cheesesteaks
blakes-steaks-college-station,hotdogs
kyoto-japanese-restaurant-college-station,japanese
chicken-oil-co-bryan,burgers
chicken-oil-co-bryan,tradamerican
la-familia-taqueria-college-station,mexican
texas-a-and-m-university-dining-services-college-station,restaurants
doubledaves-pizzaworks-college-station-6,pizza
hullabaloo-diner-wellborn,diners
huertas-taqueria-college-station,streetvendors
huertas-taqueria-college-station,mexican
huertas-taqueria-college-station,foodstands
the-university-club-college-station,tradamerican
the-university-club-college-station,seafood
the-university-club-college-station,steak
schlotzskys-college-station-3,sandwiches
schlotzskys-college-station-3,delis
hometown-chinese-restaurant-bryan,panasian
baked-or-fried-bryan,chicken_wings
baked-or-fried-bryan,newamerican
baked-or-fried-bryan,bbq
jimmy-johns-college-station-2,sandwiches
the-grill-at-the-pavilion-college-station,burgers
the-grill-at-the-pavilion-college-station,breakfast_brunch
the-grill-at-the-pavilion-college-station,vegetarian
frittella-italian-cafe-bryan-2,italian
frittella-italian-cafe-bryan-2,desserts
frittella-italian-cafe-bryan-2,pizza
dominos-pizza-college-station-6,pizza
dominos-pizza-college-station-6,chicken_wings
dominos-pizza-college-station-6,sandwiches
the-tap-college-station,sportsbars
the-tap-college-station,tradamerican
dennys-college-station,diners
dennys-college-station,tradamerican
dennys-college-station,breakfast_brunch
tree-house-cafe-long-beach,pizza
tree-house-cafe-long-beach,sandwiches
freebirds-world-burrito-college-station-5,mexican
freebirds-world-burrito-college-station-5,tex-mex
cicis-college-station-2,pizza
revs-american-grill-college-station,tradamerican
raspas-el-payasito-bryan,mexican
raspas-el-payasito-bryan,foodtrucks
taqueria-maris-bryan,mexican
chilis-college-station,tradamerican
chilis-college-station,bars
chilis-college-station,tex-mex
fuddruckers-college-station,burgers
fuddruckers-college-station,tradamerican
kreuz-market-bryan,bbq
roman-delight-pizza-college-station,pizza
caffe-capri-bryan,italian
freebirds-world-burrito-college-station-4,mexican
freebirds-world-burrito-college-station-4,tex-mex
khairallah-halal-meat-bryan-2,meats
khairallah-halal-meat-bryan-2,halal
khairallah-halal-meat-bryan-2,grocery
olive-garden-italian-restaurant-college-station-3,italian
olive-garden-italian-restaurant-college-station-3,salad
olive-garden-italian-restaurant-college-station-3,wine_bars
must-be-heaven-college-station,icecream
must-be-heaven-college-station,sandwiches
sodolaks-beefmasters-restaurant-bryan,tradamerican
rebel-draft-house-college-station,bars
rebel-draft-house-college-station,tradamerican
taco-bell-college-station-2,hotdogs
taco-bell-college-station-2,mexican
taco-bell-college-station-2,tex-mex
shawarma-king-college-station,foodtrucks
shawarma-king-college-station,mideastern
subway-college-station-5,sandwiches
subway-college-station-5,hotdogs
gig-em-and-go-college-station,foodstands
gig-em-and-go-college-station,foodtrucks
bushs-chicken-college-station,chicken_wings
bushs-chicken-college-station,desserts
bushs-chicken-college-station,salad
katsuyas-college-station,sushi
taco-crave-taco-bar-bryan-2,tacos
taco-crave-taco-bar-bryan-2,newmexican
manchu-wok-college-station,chinese
schlotzskys-college-station-2,sandwiches
schlotzskys-college-station-2,delis
smashburger-college-station,salad
smashburger-college-station,burgers
smashburger-college-station,hotdogs
chicken-express-college-station,hotdogs
la-unión-tienda-y-restaurante-bryan-2,salvadoran
babylon-cafe-and-mediterranean-grill-bryan-2,mediterranean
babylon-cafe-and-mediterranean-grill-bryan-2,hookah_bars
the-41st-club-college-station,breakfast_brunch
the-41st-club-college-station,diyfood
farmers-grill-bryan,breakfast_brunch
farmers-grill-bryan,burgers
farmers-grill-bryan,tacos
memorial-student-center-lower-level-food-court-college-station,food_court
martins-place-bryan-2,bbq
panda-express-college-station,chinese
panda-express-college-station,hotdogs
midnight-yell-college-station,tex-mex
midnight-yell-college-station,mexican
subway-college-station-15,sandwiches
subway-college-station-15,hotdogs
chick-fil-a-college-station-9,hotdogs
sams-club-cafe-college-station,pizza
sams-club-cafe-college-station,cafes
jimmy-johns-college-station,sandwiches
ez-stop-college-station,mexican
ez-stop-college-station,breakfast_brunch
ez-stop-college-station,convenience
taco-casa-college-station,tex-mex
taco-casa-college-station,hotdogs
taco-casa-college-station,mexican
la-carreta-mexican-grill-bryan,mexican
la-carreta-mexican-grill-bryan,breakfast_brunch
imperial-chinese-and-sushi-bryan-2,chinese
imperial-chinese-and-sushi-bryan-2,sushi
imperial-chinese-and-sushi-bryan-2,japanese
tacos-las-rosas-college-station-2,foodtrucks
tacos-las-rosas-college-station-2,mexican
j-codys-steaks-and-bbq-bryan,bbq
j-codys-steaks-and-bbq-bryan,steak
sonic-college-station-5,hotdogs
doubledaves-pizzaworks-college-station-2,pizza
whataburger-college-station,burgers
whataburger-college-station,hotdogs
whataburger-college-station,tradamerican
freebirds-world-burrito-college-station-3,mexican
freebirds-world-burrito-college-station-3,tex-mex
pings-buffet-college-station,chinese
wrecking-crew-bbq-college-station,bbq
wendys-college-station,hotdogs
wendys-college-station,burgers
schlotskys-deli-college-station,delis
casa-ole-restaurant-22-college-station,mexican
richards-taqueria-taco-truck-college-station,foodtrucks
richards-taqueria-taco-truck-college-station,streetvendors
richards-taqueria-taco-truck-college-station,mexican
kfc-college-station-2,hotdogs
kfc-college-station-2,chicken_wings
taqueria-rios-truck-college-station,foodtrucks
taqueria-rios-truck-college-station,mexican
gumbys-pizza-college-station-2,pizza
the-pasta-fork-college-station,newamerican
sonic-college-station-4,hotdogs
schlotskys-deli-college-station-2,pizza
schlotskys-deli-college-station-2,delis
agrilife-sidewalk-cafe-college-station,cafes
agrilife-sidewalk-cafe-college-station,coffee
agrilife-sidewalk-cafe-college-station,convenience
agrilife-sidewalk-cafe-college-station,diyfood
down-the-line-snacks-college-station,foodstands
front-porch-grill-college-station,tradamerican
front-porch-grill-college-station,burgers
joy-luck-fusion-college-station,asianfusion
burger-king-restaurant-college-station,burgers
burger-king-restaurant-college-station,hotdogs
the-tomato-bar-express-college-station,food
the-tomato-bar-express-college-station,vegetarian
studio-eats-cafe-college-station,movietheaters
studio-eats-cafe-college-station,tradamerican
einstein-bros-bagels-college-station-3,restaurants
r-c-slocum-dining-hall-college-station,cafeteria
subway-college-station,sandwiches
subway-college-station,hotdogs
chipotle-mexican-grill-college-station-2,hotdogs
chipotle-mexican-grill-college-station-2,mexican
chicken-express-college-station-3,chicken_wings
critical-care-cafe-college-station,cafes
smoothie-king-the-underground-food-court-college-station,juicebars
smoothie-king-the-underground-food-court-college-station,food_court
taco-cabana-college-station,mexican
laynes-chicken-fingers-college-station-2,hotdogs
kettle-restaurant-bryan,diners
golden-corral-college-station-2,buffets
jimmy-johns-college-station-5,sandwiches
cabo-college-station,mexican
big-fly-grill-college-station,foodstands
tacos-la-morenita-trucks-college-station,foodtrucks
tacos-la-morenita-trucks-college-station,mexican
cotton-patch-cafe-bryan-2,tradamerican
cotton-patch-cafe-bryan-2,southern
cotton-patch-cafe-bryan-2,comfortfood
dairy-queen-college-station,hotdogs
taqueria-el-tio-bryan,mexican
arbys-college-station,sandwiches
arbys-college-station,hotdogs
wayback-burgers-bryan,burgers
wayback-burgers-bryan,hotdogs
wayback-burgers-bryan,sandwiches
shannons-cafe-bryan,newamerican
shannons-cafe-bryan,soulfood
mi-pueblito-mexican-bryan,mexican
w-xyz-bar-college-station,venues
w-xyz-bar-college-station,tapasmallplates
w-xyz-bar-college-station,cocktailbars
chuck-e-cheeses-college-station,pizza
chuck-e-cheeses-college-station,arcades
subway-college-station-6,sandwiches
subway-college-station-6,hotdogs
la-reina-del-sur-tacos-truck-college-station-3,foodtrucks
la-reina-del-sur-tacos-truck-college-station-3,mexican
subway-college-station-14,hotdogs
subway-college-station-14,sandwiches
wiki-wok-college-station,asianfusion
chick-fil-a-college-station-7,hotdogs
wendys-college-station-4,hotdogs
wendys-college-station-4,burgers
sarginos-pizza-fresca-college-station,pizza
sarginos-pizza-fresca-college-station,food
sarginos-pizza-fresca-college-station,hotdogs
chick-n-grill-college-station-2,tradamerican
cracker-barrel-old-country-store-bryan,tradamerican
cracker-barrel-old-country-store-bryan,breakfast_brunch
cracker-barrel-old-country-store-bryan,southern
bryan-fat-burger-bryan,burgers
taqueria-san-louis-bryan,foodtrucks
taqueria-san-louis-bryan,mexican
post-oak-mall-food-court-college-station,food_court
joses-fine-mexican-food-bryan,mexican
taqueria-rioverde-truck-college-station,mexican
taqueria-rioverde-truck-college-station,fooddeliveryservices
taqueria-rioverde-truck-college-station,foodstands
chick-fil-a-college-station-10,hotdogs
the-money-wise-aggie-snack-bar-college-station,diyfood
the-money-wise-aggie-snack-bar-college-station,food_court
wings-n-more-express-bryan-3,chicken_wings
wings-n-more-express-bryan-3,salad
wings-n-more-express-bryan-3,sandwiches
smoothies-college-station,breakfast_brunch
time-out-sports-deli-college-station,delis
dos-hermanos-taqueria-bryan,foodtrucks
dos-hermanos-taqueria-bryan,mexican
churchs-chicken-college-station,hotdogs
super-donuts-bryan,breakfast_brunch
super-donuts-bryan,donuts
common-denominator-deli-and-grill-college-station,delis
common-denominator-deli-and-grill-college-station,food
common-denominator-deli-and-grill-college-station,hotdogs
which-wich-college-station,sandwiches
subway-college-station-11,sandwiches
subway-college-station-11,hotdogs
vindaloo-college-station-2,indpak
tacos-las-morenita-trucks-college-station,streetvendors
tacos-las-morenita-trucks-college-station,mexican
tacos-las-morenita-trucks-college-station,foodstands
t-jin-china-diner-bryan-2,chinese
t-jin-china-diner-bryan-2,noodles
t-jin-china-diner-bryan-2,soup
azimuth-cafe-and-lounge-college-station,coffee
azimuth-cafe-and-lounge-college-station,breakfast_brunch
la-iguana-loka-bryan,mexican
chef-caos-ii-bryan-3,chinese
chef-caos-ii-bryan-3,thai
chef-caos-ii-bryan-3,buffets
crawfish-to-geaux-bryan,streetvendors
crawfish-to-geaux-bryan,cajun
crawfish-to-geaux-bryan,foodtrucks
northgate-district-northgate,restaurants
northgate-district-northgate,pubs
pizza-hut-college-station-4,pizza
pizza-hut-college-station-4,italian
pizza-hut-college-station-4,chicken_wings
laredo-taco-company-college-station,tex-mex
laredo-taco-company-college-station,mexican
laredo-taco-company-college-station,hotdogs
mcdonalds-college-station-8,hotdogs
mcdonalds-college-station-8,burgers
smokin-college-station-2,bbq
the-grill-at-the-underground-food-court-college-station,burgers
the-grill-at-the-underground-food-court-college-station,food_court
springers-chevron-and-cafe-express-college-station-2,hotdogs
wienerschnitzel-bryan,hotdog
wienerschnitzel-bryan,hotdogs
wienerschnitzel-bryan,sandwiches
buppys-catering-bryan,buffets
mcdonalds-college-station,hotdogs
mcdonalds-college-station,burgers
sonic-drive-in-college-station-3,hotdogs
taqueria-poblana-bryan,mexican
raising-canes-chicken-fingers-109-college-station,chicken_wings
raising-canes-chicken-fingers-109-college-station,tradamerican
e-king-grill-college-station-2,burgers
ag-cafe-college-station-2,food_court
papa-johns-pizza-college-station-5,pizza
mcdonalds-college-station-6,burgers
mcdonalds-college-station-6,hotdogs
longhorn-tavern-bryan,steak
the-hot-dawg-sidewalk-cafe-college-station,hotdog
duncan-dining-center-college-station,tradamerican
subway-college-station-8,sandwiches
subway-college-station-8,hotdogs
carters-burger-bryan-11,burgers
mondos-college-station,italian
bbqs-college-station,bbq
whataburger-college-station-3,burgers
whataburger-college-station-3,hotdogs
whataburger-college-station-3,tradamerican
freschetta-pizza-college-station,italian
taco-bell-college-station-4,tex-mex
taco-bell-college-station-4,hotdogs
taco-bell-college-station-4,mexican
taqueria-el-sol-de-mexico-bryan-2,mexican
chick-fil-a-bryan-2,hotdogs
sonic-drive-in-college-station-5,restaurants
over-the-bar-grill-college-station,foodstands
kolache-rolfs-bryan,coffee
kolache-rolfs-bryan,breakfast_brunch
kolache-rolfs-bryan,desserts
subway-college-station-7,sandwiches
subway-college-station-7,hotdogs
la-botana-mexican-restaurant-college-station,mexican
must-be-heaven-bryan,sandwiches
must-be-heaven-bryan,desserts
big-event-pizzeria-college-station,pizza
the-underground-food-court-college-station,diyfood
the-underground-food-court-college-station,burgers
gigem-grub-college-station,foodstands
crisp-college-station,newamerican
saboroso-college-station,italian
tacos-frescas-college-station,mexican
papa-perez-bryan,mexican
papa-perez-bryan,tex-mex
papa-perez-bryan,breakfast_brunch
pile-on-college-station-2,newamerican
subway-college-station-2,hotdogs
subway-college-station-2,sandwiches
papa-johns-college-station-4,pizza
simply-fresh-grab-n-go-college-station,tradamerican
chick-n-grill-college-station,tradamerican
jack-in-the-box-college-station,hotdogs
jack-in-the-box-college-station,burgers
cabo-the-commons-college-station,tex-mex
bushs-chicken-bryan,chickenshop
bushs-chicken-bryan,salad
bushs-chicken-bryan,hotdogs
las-mexicanas-taqueria-bryan-2,mexican
mondos-express-college-station,asianfusion
3rd-degree-college-station,sandwiches
raspas-el-payasito-truck-northgate,foodtrucks
raspas-el-payasito-truck-northgate,mexican
ciao-college-station-2,italian
el-sol-de-mexico-bryan,mexican
angelinas-tacos-caseros-college-station,tex-mex
angelinas-tacos-caseros-college-station,foodstands
peppers-cocina-bryan,mexican
