Restaurant_id,Review_user,Review_text,Review_url
first-watch-breakfast-brunch-and-lunch-college-station,Mark M.,"Came here based on Yelp reviews and a desire to have some flexible, healthy options. Generally, I'm a fan, with some reservations.

First -- the atmosphere...",https://www.yelp.com/biz/first-watch-breakfast-brunch-and-lunch-college-station?hrid=Xdh_BcLTIpVmesqy9zgXKg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
first-watch-breakfast-brunch-and-lunch-college-station,Catherine H.,"While in town for a conference my friend and I agreed upon First Watch for a Monday morning brunch based on their reviews, and I'm so glad we did! 

What...",https://www.yelp.com/biz/first-watch-breakfast-brunch-and-lunch-college-station?hrid=OR-yj0CELjrqemOKPbfeGw&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
first-watch-breakfast-brunch-and-lunch-college-station,Kandi S.,"It is my daughter's favorite spot.
We go every Sunday.
Food is great, staff is great, it is worth the wait.",https://www.yelp.com/biz/first-watch-breakfast-brunch-and-lunch-college-station?hrid=oPFEgG_-hU9BsG_PKBhXbQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
grub-burger-bar-college-station,Juan M.,People will ask what am I doing in College Station? It is an unusual destination to go to in Texas. Well the answer is I was visitting my sister in Texas....,https://www.yelp.com/biz/grub-burger-bar-college-station?hrid=xAsfKSMJh7Ig-knMXPWutA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
grub-burger-bar-college-station,Jacob R.,"I came here in a group of 4 on a Friday night at around 7 pm, and had to wait in a pretty long line at the door that wrapped all the way to the cash...",https://www.yelp.com/biz/grub-burger-bar-college-station?hrid=1PFyTDLKzAsXqST95vU6mw&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
grub-burger-bar-college-station,Natasha K.,"Best burger place in college station. Would recommend. 

Can't go wrong with Guacapotle burger. 
Mac 'n' cheese wasn't my favorite but not bad. 

Very...",https://www.yelp.com/biz/grub-burger-bar-college-station?hrid=642Rqvbv1EtyKMwif92QwA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
veritas-wine-and-bistro-college-station,Sunay P.,"This is far the best fine dining in the BCS region. Yes the location is not necessarily the finest and the interior is not hyper posh, but the service, food...",https://www.yelp.com/biz/veritas-wine-and-bistro-college-station?hrid=KBYt57wOdVcAft6681DsKA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
veritas-wine-and-bistro-college-station,Dwight G.,"I recently met with my fiancee for live music, sushi and wine (on Fridays they have live music: soft jazz) and we had such a wonderful time! I feel that the...",https://www.yelp.com/biz/veritas-wine-and-bistro-college-station?hrid=8YXYP6f5_IbGvXheBOsMFw&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
veritas-wine-and-bistro-college-station,Xiao Y.,"Fancy! Stark is good, but not so worth for $30. If you come here for especial romantic date, that's a good choice. You will experience a France style night!...",https://www.yelp.com/biz/veritas-wine-and-bistro-college-station?hrid=6KFywVivSPZQ0UNsL9NaVQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
fuego-tortilla-grill-college-station,Daniel M.,Looked at the reviews and needed something I could eat on the go. Decided on FuegoI ordered a bacon and egg and a Fuego breakfast taco. Ordered through the...,https://www.yelp.com/biz/fuego-tortilla-grill-college-station?hrid=1xeZ-qy1kKhzOuML_YI77A&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
